A,32
B,27
C,25
D,19
E,14
F,15
G,15
H,6
I,24
J,19
K,5
L,31
M,33
N,8
O,18
P,15
Q,3
R,16
S,32
T,29
U,11
V,14
W,2
X,1
Y,3
Z,1

